<DATE>;<CLOSE>
200205;21.316
200206;21.240
200207;21.200
200210;21.442
200211;21.910
200212;21.966
200213;21.510
200214;21.530
200217;21.790
200218;21.818
200219;22.520
200220;22.342
200221;22.220
200225;21.554
200226;21.826
200227;21.238
200228;20.250
200302;20.160
200303;20.714
200304;20.756
200305;20.780
200306;21.762
200310;21.230
200311;20.238
200312;18.500
200313;18.038
200316;17.090
200317;17.180
200318;15.500
200319;16.252
200320;16.358
200323;16.240
200324;19.028
200325;19.930
200326;20.100
200327;19.306
200330;19.462
200331;19.518
200401;18.952
200402;18.998
200403;19.032
200406;19.590
200407;19.780
200408;20.164
200409;21.138
200410;20.650
200413;20.100
200414;20.702
200415;19.646
200416;19.520
200417;19.718
200420;20.036
200421;19.240
200422;19.614
200423;20.216
200424;20.150
200427;20.034
200428;20.054
200429;20.596
200430;20.478
200504;20.126
200505;20.034
200506;19.940
200507;20.224
200508;20.144
200512;21.016
200513;20.762
200514;20.104
200515;20.206
200518;21.474
200519;21.920
200520;22.952
200521;22.536
200522;22.002
200525;22.394
200526;22.118
200527;22.110
200528;22.544
200529;22.110
200601;22.026
200602;22.220
200603;21.824
200604;20.000
200605;20.400
200608;20.502
200609;20.248
200610;20.240
200611;19.482
200615;19.058
200616;19.472
200617;19.256
200618;18.926
200619;19.004
200622;19.122
200623;19.636
200625;19.850
200626;19.678
200629;19.196
200630;18.784
200702;18.754
200703;19.000
200706;18.260
200707;18.574
200708;18.970
200709;18.596
200710;18.550
200713;17.946
200714;17.826
200715;17.978
200716;18.112
200717;18.350
200720;18.394
200721;18.380
200722;18.234
200723;18.724
200724;19.060
200727;19.790
200728;19.618
200729;19.808
200730;19.620
200731;19.650
200803;20.018
200804;20.398
200805;20.886
200806;20.842
200807;20.438
200810;20.612
200811;20.426
200812;20.770
200813;20.930
200814;20.786
200817;20.710
200818;20.798
200819;20.500
200820;19.988
200821;19.942
200824;20.000
200825;19.830
200826;19.976
200827;19.670
200828;19.364
200831;19.394
200901;19.930
200902;19.916
200903;19.838
200904;19.924
200907;20.006
200908;19.890
200909;19.708
200910;19.528
200911;19.354
200914;19.492
200915;19.634
200916;19.270
200917;19.370
200918;19.300
200921;18.694
200922;18.758
200923;18.860
200924;18.780
200925;18.888
200928;18.826
200929;18.800
200930;18.762
201001;18.726
201002;18.840
201005;19.282
201006;18.782
201007;18.654
201008;18.924
201009;19.450
201012;19.534
201013;19.604
201014;19.792
201015;19.680
201016;19.682
201019;19.858
201020;20.192
201021;19.828
201022;19.672
201023;19.838
201026;19.514
201027;19.150
201028;18.548
201029;18.998
201030;18.864
201102;19.334
201103;19.512
201105;19.684
201106;20.138
201109;20.590
201110;20.626
201111;20.510
201112;20.448
201113;20.486
201116;20.780
201117;20.602
201118;20.720
201119;20.660
201120;20.734
201123;21.028
201124;21.578
201125;21.460
201126;21.570
201127;21.720
201130;21.476
201201;21.908
201202;22.906
201203;23.136
201204;23.188
201207;23.084
201208;22.842
201209;23.170
201210;24.048
201211;24.056
201214;23.944
201215;23.692
201216;23.378
201217;23.472
201218;23.438
201221;23.400
201222;23.760
201223;23.386
201224;23.220
201225;23.340
201228;23.620
201229;23.528
201230;23.682
210104;24.314
210105;24.676
210106;25.024
210108;26.544
210111;26.290
210112;25.934
210113;25.976
210114;26.432
210115;25.796
210118;25.874
210119;25.826
210120;26.550
210121;26.538
210122;26.172
210125;25.982
210126;25.768
210127;24.996
210128;25.230
210129;24.364
210201;24.866
210202;24.770
210203;25.312
210204;25.766
210205;25.478
