<DATE>;<CLOSE>
200205;232.56
200206;231.38
200207;229.11
200210;225.2
200211;233.9
200212;238.03
200213;233.55
200214;232.5
200217;233.75
200218;230.5
200219;231.9
200220;234.6
200221;232
200225;224.68
200226;224.76
200227;217.5
200228;202.65
200302;198.78
200303;201.48
200304;200
200305;198
200306;188.27
200310;171
200311;172.03
200312;163.73
200313;166.1
200316;168.07
200317;167
200318;166.34
200319;174.56
200320;176.26
200323;168.35
200324;177.95
200325;180.2
200326;181.5
200327;174.5
200330;176.44
200331;181.41
200401;180.06
200402;187.04
200403;189.77
200406;191.1
200407;191.22
200408;194.11
200409;193.86
200410;192
200413;188.07
200414;190.11
200415;184.25
200416;184.3
200417;184.68
200420;185.51
200421;181.92
200422;188.36
200423;188.73
200424;185.71
200427;186.29
200428;188.5
200429;193.87
200430;190
200504;185.7
200505;190
200506;187.05
200507;185.85
200508;185.34
200512;186.17
200513;184.2
200514;183.91
200515;183.85
200518;192.5
200519;194.2
200520;196.74
200521;194.74
200522;194.35
200525;197.55
200526;196.86
200527;194.73
200528;196.86
200529;199.95
200601;198.72
200602;201.97
200603;208
200604;201.46
200605;203.05
200608;204.91
200609;204.84
200610;201.75
200611;196.74
200615;194.2
200616;196.59
200617;195.86
200618;193
200619;195.81
200622;194.3
200623;194.83
200625;192.25
200626;193
200629;197.94
200630;194.31
200702;195.28
200703;197.2
200706;199.99
200707;197.96
200708;201.17
200709;199.44
200710;200.94
200713;195.7
200714;193.6
200715;182.26
200716;183.32
200717;184.65
200720;188.36
200721;186.78
200722;187.15
200723;184.69
200724;185.45
200727;185.03
200728;184.3
200729;184.69
200730;182.52
200731;182.59
200803;183.6
200804;183.31
200805;189.15
200806;189.07
200807;187.23
200810;187.7
200811;189.7
200812;192.8
200813;193.76
200814;192.83
200817;190.47
200818;190.3
200819;189.26
200820;186.95
200821;184.51
200824;187.1
200825;186.25
200826;187.48
200827;184.58
200828;182.9
200831;181.01
200901;184.22
200902;181.95
200903;179.13
200904;179.55
200907;177.04
200908;172.95
200909;173.69
200910;173.8
200911;178.05
200914;178.19
200915;182.22
200916;183.26
200917;183.9
200918;181.52
200921;177.17
200922;179
200923;177
200924;174.23
200925;173.77
200928;172.74
200929;171.44
200930;169.97
201001;168.4
201002;169.47
201005;170.64
201006;171.35
201007;168.23
201008;167.43
201009;166.97
201012;169.05
201013;166.37
201014;167.24
201015;167.16
201016;163.98
201019;163.6
201020;166.53
201021;164.37
201022;165.27
201023;164.96
201026;162.17
201027;159.21
201028;154.3
201029;156.74
201030;154.28
201102;157.74
201103;161.09
201105;163.7
201106;164.92
201109;170.13
201110;172.92
201111;170.53
201112;172.91
201113;180.3
201116;185.32
201117;182.9
201118;185
201119;184.16
201120;183.21
201123;184.15
201124;186.76
201125;188.03
201126;185.52
201127;185.9
201130;181.89
201201;185.34
201202;187.22
201203;185.12
201204;188.79
201207;190.76
201208;190
201209;189.35
201210;192.95
201211;201.5
201214;199.91
201215;201
201216;206.2
201217;214.52
201218;212.69
201221;203.46
201222;208.4
201223;207.63
201224;206.24
201225;205.03
201228;206.11
201229;208.75
201230;212.98
210104;212.71
210105;215.32
210106;214.38
210108;225.49
210111;227.6
210112;228.69
210113;226.8
210114;228.86
210115;226.5
210118;226.88
210119;223.15
210120;224.3
210121;217.28
210122;215.49
210125;218.68
210126;218.8
210127;217.4
210128;217.7
210129;212.83
210201;214.66
210202;214.42
210203;218.1
210204;219.79
210205;222.01
