<DATE>;<SPX>
240322;4520.16
250322;4543.06
280322;4575.52
290322;4631.6
300322;4602.45
310322;4530.41
10422;4545.86
40422;4582.64
50422;4525.12
60422;4481.15
70422;4500.21
80422;4488.28
110422;4412.53
120422;4397.45
130422;4446.59
140422;4392.59
180422;4391.69
190422;4462.21
200422;4459.45
210422;4393.66
220422;4271.78
250422;4296.12
260422;4175.2
270422;4183.96
280422;4287.5
290422;4131.93
20522;4155.38
30522;4175.48
40522;4300.17
50522;4146.87
60522;4123.34
90522;3991.24
100522;4001.05
110522;3935.18
120522;3930.08
130522;4023.89
160522;4008.01
170522;4088.85
180522;3923.68
190522;3900.79
200522;3901.36
230522;3973.75
240522;3941.48
250522;3978.73
260522;4057.84
270522;4158.24
310522;4132.15
10622;4101.23
20622;4176.82
30622;4108.54
60622;4121.43
70622;4160.68
80622;4115.77
90622;4017.82
100622;3900.86
130622;3749.63
140622;3735.48
150622;3789.99
160622;3666.77
170622;3674.84
210622;3764.79
220622;3759.89
230622;3795.73
240622;3911.74
270622;3900.11
280622;3821.55
290622;3818.83
300622;3785.38
10722;3825.33
50722;3831.39
60722;3845.08
70722;3902.62
80722;3899.38
110722;3854.43
120722;3818.8
130722;3801.78
140722;3790.38
150722;3863.16
180722;3830.85
190722;3936.69
200722;3959.9
210722;3998.95
220722;3961.63
250722;3966.84
260722;3921.05
270722;4023.61
280722;4072.43
290722;4130.29
10822;4118.63
20822;4091.19
30822;4155.17
40822;4151.94
50822;4145.19
80822;4140.06
90822;4122.47
100822;4210.24
110822;4207.27
120822;4280.15
150822;4297.14
160822;4305.2
170822;4274.04
180822;4283.74
190822;4228.48
220822;4137.99
230822;4128.73
240822;4140.77
250822;4199.12
260822;4057.66
290822;4030.61
300822;3986.16
310822;3955
10922;3966.85
20922;3924.26
60922;3908.19
70922;3979.87
80922;4006.18
90922;4067.36
120922;4110.41
130922;3932.69
140922;3946.01
150922;3901.35
160922;3873.33
190922;3899.89
200922;3855.93
210922;3789.93
220922;3757.99
230922;3693.23
260922;3655.04
270922;3647.29
280922;3719.04
290922;3640.47
300922;3585.62
31022;3678.43
41022;3790.93
51022;3783.28
61022;3744.52
71022;3639.66
101022;3612.39
111022;3588.84
121022;3577.03
131022;3669.91
141022;3583.07
171022;3677.95
181022;3719.98
191022;3695.16
201022;3665.78
211022;3752.75
241022;3797.34
251022;3859.11
261022;3830.6
271022;3807.3
281022;3901.06
311022;3871.98
11122;3856.1
21122;3759.69
31122;3719.89
41122;3770.55
71122;3806.8
81122;3828.11
91122;3748.57
101122;3956.37
111122;3992.93
141122;3957.25
