"","AUDUSD","BZ","CHFUSD","EURUSD","GC","PL","SPX","USDNOK"
"240322",0.75099,118.2,1.07563,1.10083,1961.5,1029.9,4520.16,8.6599
"250322",0.7512,119.98,1.0742,1.0982,1957.6,1005.6,4543.06,8.6043
"280322",0.74959,106.6,1.07102,1.09904,1924.9,986.3,4575.52,8.7017
"290322",0.75136,108.56,1.07368,1.1091,1923,983.5,4631.6,8.662
"300322",0.7501,111,1.0828,1.116,1929.4,994,4602.45,8.56844
"310322",0.74907,105.65,1.08296,1.10725,1943.1,988.1,4530.41,8.77877
"10422",0.7499,104.75,1.0802,1.1047,1928.5,990.1,4545.86,8.7383
"40422",0.75423,107.98,1.0791,1.09749,1932,991.5,4582.64,8.7104
"50422",0.7585,105.68,1.07548,1.09057,1926.6,968.6,4525.12,8.7627
"60422",0.75042,101.65,1.0713,1.0896,1925,954.3,4481.15,8.79505
"70422",0.74771,101.41,1.0696,1.08639,1933.9,963.8,4500.21,8.8116
"80422",0.7455,102.4,1.0699,1.0875,1950.4,975.5,4488.28,8.697
"110422",0.74144,99.35,1.0734,1.0877,1963.2,981.3,4412.53,8.8184
"120422",0.74527,104.93,1.07202,1.08257,1973.6,968.2,4397.45,8.77291
"130422",0.7449,108.88,1.0703,1.08948,1977.2,987.3,4446.59,8.74563
"140422",0.74072,111.66,1.0598,1.08194,1977.1,991.1,4392.59,8.77959
"180422",0.73567,112.84,1.05827,1.07799,1981.8,1017,4391.69,8.8485
"190422",0.73931,107.6,1.0498,1.07939,1946.5,990.3,4462.21,8.825
"200422",0.74439,107.23,1.0533,1.08486,1953.5,987.3,4459.45,8.8094
"210422",0.73597,108.83,1.0481,1.08348,1952.1,968.3,4393.66,8.8918
"220422",0.7237,106.2,1.0446,1.0794,1932.5,923,4271.78,8.9536
"250422",0.71759,102.63,1.04309,1.07123,1903.2,912.6,4296.12,9.11842
"260422",0.71411,104.87,1.0387,1.0641,1899.6,916.2,4175.2,9.23895
"270422",0.71213,104.94,1.0318,1.05541,1879.2,908.9,4183.96,9.3287
"280422",0.71089,107.12,1.02885,1.05021,1905.6,911.5,4287.5,9.40838
"290422",0.7063,106.08,1.0268,1.0541,1896.9,932,4131.93,9.3647
"20522",0.70505,107.64,1.02265,1.05089,1862.3,932.8,4155.38,9.43728
"30522",0.71002,105.94,1.02146,1.05248,1864.5,958.7,4175.48,9.3905
"40522",0.72509,110.22,1.027,1.06196,1901.8,986.4,4300.17,9.23627
"50522",0.71189,111.06,1.01467,1.05391,1876.5,962,4146.87,9.4816
"60522",0.7077,113.22,1.0111,1.0551,1882.8,947.4,4123.34,9.4858
"90522",0.69532,105.25,1.00679,1.0563,1863.5,936.1,3991.24,9.6626
"100522",0.69319,101.6,1.00387,1.0529,1835.2,943.6,4001.05,9.7286
"110522",0.69265,107.51,1.0051,1.05117,1852.7,982.5,3935.18,9.7476
"120522",0.68682,107.92,0.9965,1.0377,1823.2,938.3,3930.08,9.86721
"130522",0.6938,111.22,0.9978,1.0412,1810.3,930.8,4023.89,9.7529
"160522",0.69725,114.03,0.9978,1.04388,1821.7,928.9,4008.01,9.7633
"170522",0.70298,112.83,1.0062,1.05477,1806.4,940.3,4088.85,9.6683
"180522",0.69575,109.25,1.01277,1.04728,1814.1,915,3923.68,9.8878
"190522",0.70415,111.5,1.0281,1.05791,1840.1,947.5,3900.79,9.68778
"200522",0.7032,112.91,1.026,1.056,1845.1,948.6,3901.36,9.7414
"230522",0.70861,113.47,1.03517,1.06834,1854,947,3973.75,9.6055
"240522",0.71012,113.84,1.04108,1.07325,1861.1,945.8,3941.48,9.5583
"250522",0.7089,114.5,1.0395,1.06866,1848.7,936.4,3978.73,9.56954
"260522",0.7098,114.46,1.04298,1.07324,1852.4,939.1,4057.84,9.5287
"270522",0.716,115.32,1.0441,1.07317,1850.6,943,4158.24,9.4571
"310522",0.71825,116.27,1.04186,1.07337,1839,960.7,4132.15,9.3636
"10622",0.7171,115.9,1.03816,1.06509,1847.2,991.1,4101.23,9.4767
"20622",0.7262,118.29,1.0438,1.07502,1872.3,1025,4176.82,9.3618
"30622",0.7206,121.08,1.0384,1.0719,1853.9,1020.3,4108.54,9.4303
"60622",0.71855,119.99,1.02931,1.0689,1842.4,1022.1,4121.43,9.428
"70622",0.72207,121,1.02693,1.06972,1848.8,1013.4,4160.68,9.4573
"80622",0.71859,123.94,1.02142,1.07162,1857.5,1009.6,4115.77,9.47038
"90622",0.7097,122.93,1.01972,1.0618,1846.9,969.8,4017.82,9.58275
"100622",0.7051,121.93,1.0121,1.0515,1875.2,972,3900.86,9.6953
"130622",0.69402,122.36,1.00304,1.04149,1826.8,929.4,3749.63,9.9061
"140622",0.68868,121.09,1.00045,1.04367,1816.8,915.6,3735.48,9.99259
"150622",0.70176,118.98,1.00535,1.04571,1834.6,936.2,3789.99,9.921
"160622",0.70397,119.03,1.0338,1.05463,1844.6,947.3,3666.77,9.956
"170622",0.6931,113.61,1.0307,1.0498,1841.9,929.2,3674.84,9.98748
"210622",0.69594,114.89,1.03479,1.05313,1829.4,938.1,3764.79,9.84569
"220622",0.69047,110.03,1.03966,1.05638,1834.3,926.3,3759.89,9.92338
"230622",0.69022,109.83,1.03993,1.05193,1826.2,906.1,3795.73,9.973
"240622",0.6947,113.19,1.0428,1.0554,1828.1,904.2,3911.74,9.8444
"270622",0.6921,111.21,1.04539,1.05797,1827.3,902.6,3900.11,9.7917
"280622",0.69029,114,1.04492,1.0522,1821.5,908.5,3821.55,9.81693
"290622",0.68779,112.3,1.04792,1.04457,1817.9,911.1,3818.83,9.8848
"300622",0.68975,109.2,1.0465,1.04784,1801.5,888.3,3785.38,9.83873
"10722",0.6813,111.48,1.0419,1.0428,1812.9,877.4,3825.33,9.9222
"50722",0.67935,104.8,1.03238,1.02569,1767.4,853.3,3831.39,10.06273
"60722",0.67814,99.8,1.0304,1.01841,1743.9,842.6,3845.08,10.1225
"70722",0.68469,104.1,1.02658,1.01681,1740.4,865.2,3902.62,10.0675
"80722",0.6856,107.15,1.0235,1.0183,1740.9,883.7,3899.38,10.0716
"110722",0.6736,106.41,1.01709,1.00451,1731.5,857.6,3854.43,10.19405
"120722",0.67457,99.22,1.01816,1.003,1725.2,823.7,3818.8,10.2611
"130722",0.67325,99.85,1.01927,1.00338,1730.1,830.9,3801.78,10.2291
"140722",0.6756,99.71,1.0169,1.00265,1706,824.3,3790.38,10.2201
"150722",0.67887,101.13,1.024,1.00843,1706.5,832.6,3863.16,10.1597
"180722",0.68093,105.69,1.0226,1.01461,1707.1,849.6,3830.85,10.0837
"190722",0.68952,107.27,1.0318,1.02304,1710.3,862,3936.69,9.89683
"200722",0.68838,106.61,1.02898,1.01807,1689,840.7,3959.9,9.9674
"210722",0.69217,103.89,1.0345,1.022,1712.5,858.3,3998.95,9.94047
"220722",0.6924,103.61,1.0398,1.021,1725.3,864.1,3961.63,9.9262
"250722",0.69498,104.89,1.03675,1.02221,1722.2,869.8,3966.84,9.8313
"260722",0.69454,99.72,1.03878,1.01282,1714.6,865.4,3921.05,9.8858
"270722",0.69935,102.33,1.04321,1.02051,1735,882.1,4023.61,9.7276
"280722",0.69972,102.4,1.04745,1.01918,1779.1,880.1,4072.43,9.73077
"290722",0.6984,104,1.0506,1.02248,1782.7,890.5,4130.29,9.65905
"10822",0.70239,99.93,1.05203,1.0263,1790.9,904.7,4118.63,9.63375
"20822",0.689,99.92,1.04313,1.01562,1785,887,4091.19,9.7757
"30822",0.69363,97.1,1.04011,1.01562,1787,888.8,4155.17,9.71609
"40822",0.69595,93.6,1.04785,1.0247,1809,927.2,4151.94,9.7279
"50822",0.6908,94.66,1.0393,1.0181,1792.4,931.9,4145.19,9.78473
"80822",0.69884,96.52,1.0466,1.0197,1802,942.8,4140.06,9.7366
"90822",0.69535,96.53,1.0476,1.02076,1807.4,933.7,4122.47,9.7293
"100822",0.70816,97.06,1.06085,1.02984,1801.1,944.6,4210.24,9.5105
"110822",0.7101,99.42,1.0617,1.03196,1806.5,954.5,4207.27,9.5196
"120822",0.7121,98.01,1.0619,1.0258,1818.9,963.4,4280.15,9.56205
"150822",0.70187,93.47,1.05683,1.0161,1796.2,929.2,4297.14,9.70591
"160822",0.70195,92.76,1.05268,1.01696,1790.1,932.9,4305.2,9.6714
"170822",0.69305,93.05,1.05093,1.0176,1775.9,920.8,4274.04,9.70385
"180822",0.69109,96.58,1.04498,1.00884,1767.2,905.5,4283.74,9.7297
"190822",0.6872,96.09,1.0424,1.0034,1760.3,889.3,4228.48,9.797
"220822",0.68781,96.69,1.0364,0.9938,1751.2,868,4137.99,9.8204
"230822",0.69208,100.15,1.0364,0.99665,1758.1,872.3,4128.73,9.709
"240822",0.69055,101.73,1.0341,0.99679,1769.2,866.7,4140.77,9.6932
"250822",0.6961,99.83,1.0372,0.9969,1770.2,871.8,4199.12,9.65882
"260822",0.689,98.9,1.0348,0.9961,1750.8,852,4057.66,9.7638
"290822",0.69071,102.95,1.0334,1.00108,1747.1,855.3,4030.61,9.7311
"300822",0.68541,98.47,1.02637,1.00232,1735.3,832.5,3986.16,9.81202
"310822",0.68276,94.96,1.0209,1.00378,1715.2,822.1,3955,9.95182
"10922",0.67951,92.17,1.0187,0.99513,1710.3,808.5,3966.85,10.0424
"20922",0.6808,93.28,1.0188,0.995,1722.6,818.2,3924.26,10.0141
"60922",0.67274,92.85,1.01535,0.98968,1704,835.8,3908.19,10.03465
"70922",0.6752,87.71,1.02352,0.99979,1725.7,852.2,3979.87,10.00527
"80922",0.67643,88.61,1.03207,1.00095,1729.9,871.4,4006.18,10.02024
"90922",0.684,92.42,1.0405,1.0039,1727.6,873,4067.36,9.9214
"120922",0.68925,94.26,1.0489,1.0129,1731.9,902,4110.41,9.8315
"130922",0.67406,93.55,1.0407,0.99781,1710.4,876.6,3932.69,10.1071
"140922",0.67524,94.64,1.0389,0.99821,1701.9,903.7,3946.01,10.0836
"150922",0.66867,90.8,1.0392,0.99872,1672.7,900.2,3901.35,10.1853
"160922",0.6718,91.57,1.0363,1.0015,1684.5,905.2,3873.33,10.185
"190922",0.67323,91.73,1.03712,1.00299,1685.3,920.3,3899.89,10.2057
"200922",0.66945,90.87,1.03729,0.99712,1671.7,925.1,3855.93,10.32887
"210922",0.6611,90,1.03317,0.98306,1668.3,907.6,3789.93,10.36637
"220922",0.66436,90.33,1.02442,0.98383,1677,903.8,3757.99,10.39283
"230922",0.6526,86.65,1.0182,0.969,1651.7,852.9,3693.23,10.5994
"260922",0.647,82.72,1.0074,0.9619,1638.1,849.7,3655.04,10.7825
"270922",0.64337,84.43,1.00805,0.95951,1631.6,847.8,3647.29,10.8027
"280922",0.65028,87.93,1.0223,0.97056,1662.8,863.9,3719.04,10.6987
"290922",0.65082,87.46,1.0253,0.98293,1670.1,865,3640.47,10.6787
"300922",0.6402,85.57,1.0125,0.98003,1668.3,857.4,3585.62,10.8835
"31022",0.65025,88.7,1.00699,0.98337,1708.8,903.2,3678.43,10.6397
"41022",0.6513,91.76,1.02141,0.99834,1728.2,935.3,3790.93,10.44032
"51022",0.65122,93.79,1.01869,0.99118,1730.7,924,3783.28,10.48412
"61022",0.64139,94.92,1.00983,0.97888,1717.6,921.5,3744.52,10.71741
"71022",0.6368,98.45,1.0049,0.9741,1701.8,915.5,3639.66,10.7023
"101022",0.62957,96.07,1.0001,0.97104,1670.7,902,3612.39,10.66972
"111022",0.62648,93.8,1.0018,0.97001,1672,887,3588.84,10.7543
"121022",0.62751,92.41,1.00215,0.97045,1675.7,883.7,3577.03,10.76402
"131022",0.62945,94.69,0.9979,0.97671,1674.9,897.3,3669.91,10.5809
"141022",0.6194,91.46,0.9939,0.9719,1650.2,898.8,3583.07,10.6882
"171022",0.6296,91.98,1.00406,0.98435,1657.8,917.2,3677.95,10.51032
"181022",0.63146,90.64,1.00595,0.98627,1654.2,908.3,3719.98,10.54
"191022",0.6263,92.57,0.99472,0.9764,1630.2,878.8,3695.16,10.62674
"201022",0.62734,92.73,0.99577,0.97778,1625.6,911.8,3665.78,10.6626
"211022",0.63805,93.6,1.0016,0.9861,1662.5,934.6,3752.75,10.4756
"241022",0.63274,93.45,0.9999,0.98839,1655.9,931.2,3797.34,10.4971
"251022",0.63838,93.06,1.00487,0.99617,1661.3,919,3859.11,10.4001
"261022",0.64958,94.15,1.015,1.00929,1668.5,961.4,3830.6,10.2234
"271022",0.64501,94.73,1.0093,0.99666,1668.7,967.1,3807.3,10.27
"281022",0.6409,94.16,1.0035,0.9963,1648.3,949.5,3901.06,10.3296
"311022",0.64092,92.85,0.998,0.98854,1640.4,932.1,3871.98,10.3887
"11122",0.63956,94.77,0.99987,0.98769,1653.8,951.7,3856.1,10.34837
"21122",0.63372,95.52,0.9962,0.98136,1640,937.2,3759.69,10.4719
"31122",0.62873,94.55,0.9864,0.97488,1641.3,921.4,3719.89,10.5796
"41122",0.64681,98.75,1.0058,0.99581,1685.7,967.7,3770.55,10.23405
"71122",0.64739,97.93,1.01092,1.00173,1672.7,990.2,3806.8,10.2193
"81122",0.65084,95.05,1.01534,1.00799,1711.4,1012.1,3828.11,10.2244
"91122",0.64305,92.47,1.01647,1.0019,1712.8,998.1,3748.57,10.36613
"101122",0.66057,93.34,1.03591,1.01917,1756.1,1047,3956.37,10.0951
"111122",0.67031,95.76,1.0621,1.03538,1774.2,1043.7,3992.93,9.9231
"141122",0.66925,92.5,1.05973,1.03197,1774,1026.3,3957.25,10.0427
"151122",0.6769,93.77,1.06015,1.03573,1775.1,1028.7,3991.73,9.979
"161122",0.67388,92.61,1.05852,1.0393,1765,1014.9,3958.79,9.99612
"171122",0.66873,90.02,1.04908,1.03604,1764.7,992.3,3946.56,10.11745
"181122",0.6671,87.74,1.0473,1.0324,1752,986.4,3965.34,10.1866
"211122",0.6607,87.79,1.04292,1.02449,1746.1,989.7,3949.94,10.25224
"221122",0.66492,88.35,1.05103,1.0309,1735.2,1000.8,4003.58,10.09521
"231122",0.67451,84.65,1.0622,1.04177,1756,1007.5,4027.26,9.93377
"251122",0.6748,83.91,1.0572,1.0395,1755,989.6,4026.12,9.8844
"281122",0.66514,83.24,1.05345,1.03431,1752.5,996.9,3963.94,10.01698
"291122",0.66826,84.94,1.04728,1.03234,1767.8,1010.5,3957.63,10.0042
"301122",0.67988,86.64,1.0592,1.04232,1793.4,1051.6,4080.11,9.8221
"11222",0.68105,87.26,1.06754,1.0528,1811.4,1055.9,4076.57,9.70996
"21222",0.6791,85.42,1.067,1.05315,1811.4,1025.3,4071.7,9.75918
"51222",0.6706,83,1.06079,1.04956,1784.2,1006.5,3998.84,9.94
"61222",0.66973,79.72,1.06123,1.0467,1782.5,996.2,3941.26,10.01158
"71222",0.67247,77.39,1.06304,1.05111,1795.1,1013,3933.92,10.0139
"81222",0.67748,76.51,1.06797,1.05551,1807.2,1015.2,3963.51,9.95575
"91222",0.6793,76.82,1.0694,1.053,1809.4,1036.6,3934.38,9.98909
"121222",0.67515,78.02,1.06832,1.05412,1793.3,1010.4,3990.56,9.97775
"131222",0.68411,80.89,1.07605,1.06241,1822.1,1041.4,4019.65,9.7739
"141222",0.68575,82.8,1.08121,1.06757,1801.1,1036.4,3995.32,9.7188
"151222",0.6705,81.45,1.07761,1.06387,1788.3,1013.3,3895.75,9.84915
"161222",0.66905,79.26,1.0682,1.0584,1803,999.1,3852.36,9.8906
"191222",0.67048,80.1,1.0764,1.06117,1799,987.8,3817.66,9.89297
"201222",0.66876,79.68,1.07912,1.06247,1824.1,1012.6,3821.62,9.8668
"211222",0.67121,82.28,1.0788,1.06074,1829.1,1003.3,3878.44,9.8282
"221222",0.66753,81.69,1.0735,1.06007,1802.3,984.3,3822.39,9.86902
"231222",0.6717,83.97,1.0712,1.06172,1806,1030.9,3844.82,9.882
"271222",0.67287,85.16,1.07551,1.06365,1819.1,1024.5,3829.25,9.81758
"281222",0.67463,83.77,1.07732,1.0628,1815.7,1010.9,3783.22,9.8767
"291222",0.67652,83.73,1.08298,1.066,1822.7,1067.1,3849.28,9.8897
"301222",0.6813,85.99,1.0767,1.0702,1830.1,1086,3839.5,9.798
"30123",0.6725,82.46,1.06783,1.05451,1852.6,1091.4,3824.14,10.0871
"40123",0.68278,78.1,1.07533,1.06055,1857.5,1089.6,3852.97,10.0859
"50123",0.67517,78.88,1.06785,1.05204,1842.6,1067,3808.1,10.2475
"60123",0.6875,78.6,1.0774,1.06413,1870.5,1104.4,3895.08,10.00125
"90123",0.69087,79.8,1.08537,1.0732,1875.4,1092.7,3892.09,9.907
"100123",0.68926,79.62,1.08386,1.07385,1881.8,1091.2,3919.25,9.9727
"110123",0.6909,82.91,1.07389,1.07654,1887.5,1083,3969.61,9.98414
"120123",0.69665,83.82,1.07811,1.0859,1898.7,1080.4,3983.17,9.88301
"130123",0.69734,85.43,1.079,1.08319,1923,1075,3999.09,9.85535
"170123",0.69874,86.7,1.08428,1.07892,1901.6,1048.2,3990.97,9.8773
"180123",0.69429,84.64,1.09136,1.07969,1911.3,1047,3928.86,9.91136
"190123",0.69116,86.38,1.0915,1.08331,1925.6,1041.2,3898.85,9.9016
