<DATE>;<CLOSE>;;;;
240322;8.6599;;;;
250322;8.6043;;;;
270322;8.6234;;;;
280322;8.7017;;;;
290322;8.662;;;;
300322;8.56844;;;;
310322;8.77877;;;;
10422;8.7383;;;;
30422;8.75458;;;;
40422;8.7104;;;;
50422;8.7627;;;;
60422;8.79505;;;;
70422;8.8116;;;;
80422;8.697;;;;
100422;8.70225;;;;
110422;8.8184;;;;
120422;8.77291;;;;
130422;8.74563;;;;
140422;8.77959;;;;
150422;8.7972;;;;
170422;8.7988;;;;
180422;8.8485;;;;
190422;8.825;;;;
200422;8.8094;;;;
210422;8.8918;;;;
220422;8.9536;;;;
240422;8.941;;;;
250422;9.11842;;;;
260422;9.23895;;;;
270422;9.3287;;;;
280422;9.40838;;;;
290422;9.3647;;;;
10522;9.38614;;;;
20522;9.43728;;;;
30522;9.3905;;;;
40522;9.23627;;;;
50522;9.4816;;;;
60522;9.4858;;;;
80522;9.5158;;;;
90522;9.6626;;;;
100522;9.7286;;;;
110522;9.7476;;;;
120522;9.86721;;;;
130522;9.7529;;;;
150522;9.767;;;;
160522;9.7633;;;;
170522;9.6683;;;;
180522;9.8878;;;;
190522;9.68778;;;;
200522;9.7414;;;;
220522;9.72204;;;;
230522;9.6055;;;;
240522;9.5583;;;;
250522;9.56954;;;;
260522;9.5287;;;;
270522;9.4571;;;;
290522;9.45636;;;;
300522;9.40744;;;;
310522;9.3636;;;;
10622;9.4767;;;;
20622;9.3618;;;;
30622;9.4303;;;;
50622;9.43108;;;;
60622;9.428;;;;
70622;9.4573;;;;
80622;9.47038;;;;
90622;9.58275;;;;
100622;9.6953;;;;
120622;9.7799;;;;
130622;9.9061;;;;
140622;9.99259;;;;
150622;9.921;;;;
160622;9.956;;;;
170622;9.98748;;;;
190622;9.9858;;;;
200622;9.8865;;;;
210622;9.84569;;;;
220622;9.92338;;;;
230622;9.973;;;;
240622;9.8444;;;;
260622;9.83;;;;
270622;9.7917;;;;
280622;9.81693;;;;
290622;9.8848;;;;
300622;9.83873;;;;
10722;9.9222;;;;
30722;9.90971;;;;
40722;9.81254;;;;
50722;10.06273;;;;
60722;10.1225;;;;
70722;10.0675;;;;
80722;10.0716;;;;
100722;10.1235;;;;
110722;10.19405;;;;
120722;10.2611;;;;
130722;10.2291;;;;
140722;10.2201;;;;
150722;10.1597;;;;
170722;10.1554;;;;
180722;10.0837;;;;
190722;9.89683;;;;
200722;9.9674;;;;
210722;9.94047;;;;
220722;9.9262;;;;
240722;9.92465;;;;
250722;9.8313;;;;
260722;9.8858;;;;
270722;9.7276;;;;
280722;9.73077;;;;
290722;9.65905;;;;
310722;9.683;;;;
10822;9.63375;;;;
20822;9.7757;;;;
30822;9.71609;;;;
40822;9.7279;;;;
50822;9.78473;;;;
70822;9.81232;;;;
80822;9.7366;;;;
90822;9.7293;;;;
100822;9.5105;;;;
110822;9.5196;;;;
120822;9.56205;;;;
140822;9.5927;;;;
150822;9.70591;;;;
160822;9.6714;;;;
170822;9.70385;;;;
180822;9.7297;;;;
190822;9.797;;;;
210822;9.8107;;;;
220822;9.8204;;;;
230822;9.709;;;;
240822;9.6932;;;;
250822;9.65882;;;;
260822;9.7638;;;;
280822;9.8042;;;;
290822;9.7311;;;;
300822;9.81202;;;;
310822;9.95182;;;;
10922;10.0424;;;;
20922;10.0141;;;;
40922;10.05917;;;;
50922;9.93689;;;;
60922;10.03465;;;;
70922;10.00527;;;;
80922;10.02024;;;;
90922;9.9214;;;;
110922;9.87017;;;;
120922;9.8315;;;;
130922;10.1071;;;;
140922;10.0836;;;;
150922;10.1853;;;;
160922;10.185;;;;
180922;10.1846;;;;
190922;10.2057;;;;
200922;10.32887;;;;
210922;10.36637;;;;
220922;10.39283;;;;
230922;10.5994;;;;
250922;10.6018;;;;
260922;10.7825;;;;
270922;10.8027;;;;
280922;10.6987;;;;
290922;10.6787;;;;
300922;10.8835;;;;
21022;10.86493;;;;
31022;10.6397;;;;
41022;10.44032;;;;
