TRADEDATE;CLOSE
05.02.2020;3114.25
06.02.2020;3096.68
07.02.2020;3087.63
10.02.2020;3062.41
11.02.2020;3097.58
12.02.2020;3122.27
13.02.2020;3110.05
14.02.2020;3096.88
17.02.2020;3110.06
18.02.2020;3074.05
19.02.2020;3114.57
20.02.2020;3125.1
21.02.2020;3106.03
25.02.2020;3002.68
26.02.2020;3017.42
27.02.2020;2915.84
28.02.2020;2785.08
02.03.2020;2765.77
03.03.2020;2821.37
04.03.2020;2828.01
05.03.2020;2816.7
06.03.2020;2719.51
10.03.2020;2498.94
11.03.2020;2492.88
12.03.2020;2286.4
13.03.2020;2316.38
16.03.2020;2266.9
17.03.2020;2224.74
18.03.2020;2112.64
19.03.2020;2275.7
20.03.2020;2331.61
23.03.2020;2253.35
24.03.2020;2415.97
25.03.2020;2452.69
26.03.2020;2489.97
27.03.2020;2401.11
30.03.2020;2433.35
31.03.2020;2508.81
01.04.2020;2473.61
02.04.2020;2545.95
03.04.2020;2572.23
06.04.2020;2622.59
07.04.2020;2634.74
08.04.2020;2670.12
09.04.2020;2701.77
10.04.2020;2677.86
13.04.2020;2628.85
14.04.2020;2631.83
15.04.2020;2498.94
16.04.2020;2515.05
17.04.2020;2534.97
20.04.2020;2525.97
21.04.2020;2488.02
22.04.2020;2573.41
23.04.2020;2599.41
24.04.2020;2562.03
27.04.2020;2570.91
28.04.2020;2612.24
29.04.2020;2663.14
30.04.2020;2650.56
04.05.2020;2624.64
05.05.2020;2653.51
06.05.2020;2632.1
07.05.2020;2634
08.05.2020;2641.55
12.05.2020;2642.04
13.05.2020;2604.98
14.05.2020;2590.31
15.05.2020;2593.91
18.05.2020;2694.25
19.05.2020;2711.72
20.05.2020;2770.79
21.05.2020;2718.67
22.05.2020;2709.38
25.05.2020;2757.93
26.05.2020;2754.04
27.05.2020;2741.02
28.05.2020;2779.98
29.05.2020;2734.83
01.06.2020;2750.24
02.06.2020;2796.51
03.06.2020;2831.08
04.06.2020;2766.26
05.06.2020;2792.74
08.06.2020;2796.3
09.06.2020;2795.9
10.06.2020;2785.18
11.06.2020;2743.8
15.06.2020;2719.06
16.06.2020;2748.3
17.06.2020;2740.1
18.06.2020;2724.33
19.06.2020;2758.67
