<DATE>;<BZ>
240322;118.2
250322;119.98
270322;114.12
280322;106.6
290322;108.56
300322;111
310322;105.65
10422;104.75
30422;103.54
40422;107.98
50422;105.68
60422;101.65
70422;101.41
80422;102.4
100422;101.28
110422;99.35
120422;104.93
130422;108.88
140422;111.66
170422;113.2
180422;112.84
190422;107.6
200422;107.23
210422;108.83
220422;106.2
240422;105.08
250422;102.63
260422;104.87
270422;104.94
280422;107.12
290422;106.08
10522;106.91
20522;107.64
30522;105.94
40522;110.22
50522;111.06
60522;113.22
80522;111.84
90522;105.25
100522;101.6
110522;107.51
120522;107.92
130522;111.22
150522;112.41
160522;114.03
170522;112.83
180522;109.25
190522;111.5
200522;112.91
220522;112.78
230522;113.47
240522;113.84
250522;114.5
260522;114.46
270522;115.32
290522;116.08
300522;117.7
310522;116.27
10622;115.9
20622;118.29
30622;121.08
50622;121.25
60622;119.99
70622;121
80622;123.94
90622;122.93
100622;121.93
120622;120.18
130622;122.36
140622;121.09
150622;118.98
160622;119.03
170622;113.61
190622;113.95
200622;114.21
210622;114.89
220622;110.03
230622;109.83
240622;113.19
260622;107.97
270622;111.21
280622;114
290622;112.3
300622;109.2
10722;111.48
30722;111.34
40722;113.83
50722;104.8
60722;99.8
70722;104.1
80722;107.15
100722;106.89
110722;106.41
120722;99.22
130722;99.85
140722;99.71
150722;101.13
170722;100.84
180722;105.69
190722;107.27
200722;106.61
210722;103.89
220722;103.61
240722;103.54
250722;104.89
260722;99.72
270722;102.33
280722;102.4
290722;104
310722;103.41
10822;99.93
20822;99.92
30822;97.1
40822;93.6
50822;94.66
70822;93.99
80822;96.52
90822;96.53
100822;97.06
110822;99.42
120822;98.01
140822;97.6
150822;93.47
160822;92.76
170822;93.05
180822;96.58
190822;96.09
210822;95.71
220822;96.69
230822;100.15
240822;101.73
250822;99.83
260822;98.9
280822;98.87
290822;102.95
300822;98.47
310822;94.96
10922;92.17
20922;93.28
40922;94.53
50922;95.23
60922;92.85
70922;87.71
80922;88.61
90922;92.42
110922;92.48
120922;94.26
130922;93.55
140922;94.64
150922;90.8
160922;91.57
180922;91.93
190922;91.73
200922;90.87
210922;90
220922;90.33
230922;86.65
250922;86.89
260922;82.72
270922;84.43
280922;87.93
290922;87.46
300922;85.57
21022;87.95
31022;88.7
41022;91.76
51022;93.79
61022;94.92
71022;98.45
91022;97.92
101022;96.07
111022;93.8
121022;92.41
131022;94.69
141022;91.46
161022;92.33
171022;91.98
181022;90.64
191022;92.57
201022;92.73
211022;93.6
231022;93.74
241022;93.45
251022;93.06
261022;94.15
271022;94.73
281022;94.16
301022;94.19
311022;92.85
11122;94.77
21122;95.52
31122;94.55
41122;98.75
61122;96.86
71122;97.93
81122;95.05
91122;92.47
101122;93.34
111122;95.76
131122;96.81
141122;92.5
151122;93.77
161122;92.61
171122;90.02
181122;87.74
201122;87.76
211122;87.79
221122;88.35
231122;84.65
241122;85.12
251122;83.91
271122;83.44
281122;83.24
291122;84.94
301122;86.64
11222;87.26
21222;85.42
41222;86.89
51222;83
61222;79.72
71222;77.39
81222;76.51
91222;76.82
111222;76.96
121222;78.02
131222;80.89
141222;82.8
151222;81.45
161222;79.26
181222;79.69
191222;80.1
201222;79.68
211222;82.28
221222;81.69
231222;83.97
271222;85.16
281222;83.77
291222;83.73
301222;85.99
20123;85.91
30123;82.46
40123;78.1
50123;78.88
60123;78.6
80123;78.87
90123;79.8
100123;79.62
110123;82.91
120123;83.82
130123;85.43
150123;85.19
160123;84.12
170123;86.7
180123;84.64
190123;86.38
200123;87.66
220123;87.14
230123;88.15
240123;86.42
250123;86.18
260123;87.49
270123;86.21
290123;87.12
300123;84.64
310123;85.53
10223;83.06
20223;82.1
30223;79.82
50223;80
60223;81.4
70223;84.09
80223;85.02
90223;84.08
100223;86.06
120223;86.02
130223;85.78
140223;85.25
150223;85.28
160223;84.82
170223;83.15
190223;82.86
200223;83.81
210223;82.73
220223;80.47
230223;82.43
240223;82.85
260223;83.09
270223;82.06
280223;83.11
10323;84.43
20323;84.35
30323;86
50323;85.48
60323;86.25
70323;83.08
80323;82.52
90323;81.56
100323;82.64
120323;83.16
130323;80.74
140323;77.61
150323;74.27
160323;74.71
170323;72.47
190323;73.26
200323;73.77
210323;75.07
220323;75.47
230323;75.15
240323;74.61
260323;75
270323;77.76
280323;78.42
290323;77.53
300323;78.56
310323;79.93
20423;84.95
30423;84.78
40423;85.26
50423;84.88
60423;84.94
90423;85.23
100423;84.31
110423;85.62
120423;87.23
130423;86.31
140423;86.63
160423;86.41
170423;84.83
180423;84.87
190423;82.88
200423;80.86
210423;81.88
230423;81.57
240423;82.54
250423;80.76
260423;77.77
270423;78.28
280423;80.34
300423;79.77
10523;79.4
20523;75.23
30523;71.93
