<DATE>;<GC>
240322;1961.5
250322;1957.6
270322;1944.1
280322;1924.9
290322;1923
300322;1929.4
310322;1943.1
10422;1928.5
30422;1922.7
40422;1932
50422;1926.6
60422;1925
70422;1933.9
80422;1950.4
100422;1946
110422;1963.2
120422;1973.6
130422;1977.2
140422;1977.1
170422;1988.6
180422;1981.8
190422;1946.5
200422;1953.5
210422;1952.1
220422;1932.5
240422;1925.3
250422;1903.2
260422;1899.6
270422;1879.2
280422;1905.6
290422;1896.9
10522;1888.8
20522;1862.3
30522;1864.5
40522;1901.8
50522;1876.5
60522;1882.8
80522;1874.6
90522;1863.5
100522;1835.2
110522;1852.7
120522;1823.2
130522;1810.3
150522;1808.6
160522;1821.7
170522;1806.4
180522;1814.1
190522;1840.1
200522;1845.1
220522;1853.1
230522;1854
240522;1861.1
250522;1848.7
260522;1852.4
270522;1850.6
290522;1857.3
300522;1854.8
310522;1839
10622;1847.2
20622;1872.3
30622;1853.9
50622;1858.7
60622;1842.4
70622;1848.8
80622;1857.5
90622;1846.9
100622;1875.2
120622;1867
130622;1826.8
140622;1816.8
150622;1834.6
160622;1844.6
170622;1841.9
190622;1846
200622;1842.3
210622;1829.4
220622;1834.3
230622;1826.2
240622;1828.1
260622;1836.9
270622;1827.3
280622;1821.5
290622;1817.9
300622;1801.5
10722;1812.9
30722;1812.2
40722;1811.4
50722;1767.4
60722;1743.9
70722;1740.4
80722;1740.9
100722;1740.8
110722;1731.5
120722;1725.2
130722;1730.1
140722;1706
150722;1706.5
170722;1714.5
180722;1707.1
190722;1710.3
200722;1689
210722;1712.5
220722;1725.3
240722;1725.6
250722;1722.2
260722;1714.6
270722;1735
280722;1779.1
290722;1782.7
310722;1778
10822;1790.9
20822;1785
30822;1787
40822;1809
50822;1792.4
70822;1789.1
80822;1802
90822;1807.4
100822;1801.1
110822;1806.5
120822;1818.9
140822;1811.1
150822;1796.2
160822;1790.1
170822;1775.9
180822;1767.2
190822;1760.3
210822;1759.6
220822;1751.2
230822;1758.1
240822;1769.2
250822;1770.2
260822;1750.8
280822;1735.9
290822;1747.1
300822;1735.3
310822;1715.2
10922;1710.3
20922;1722.6
40922;1722.9
50922;1729
60922;1704
70922;1725.7
80922;1729.9
90922;1727.6
110922;1724
120922;1731.9
130922;1710.4
140922;1701.9
150922;1672.7
160922;1684.5
180922;1677.4
190922;1685.3
200922;1671.7
210922;1668.3
220922;1677
230922;1651.7
250922;1645.3
260922;1638.1
270922;1631.6
280922;1662.8
290922;1670.1
300922;1668.3
21022;1672.2
31022;1708.8
41022;1728.2
51022;1730.7
61022;1717.6
71022;1701.8
91022;1695.9
101022;1670.7
111022;1672
121022;1675.7
131022;1674.9
141022;1650.2
161022;1655.2
171022;1657.8
181022;1654.2
191022;1630.2
201022;1625.6
211022;1662.5
231022;1658.9
241022;1655.9
251022;1661.3
261022;1668.5
271022;1668.7
281022;1648.3
301022;1647.2
311022;1640.4
11122;1653.8
21122;1640
31122;1641.3
41122;1685.7
61122;1675.7
71122;1672.7
81122;1711.4
91122;1712.8
101122;1756.1
111122;1774.2
131122;1764.4
141122;1774
151122;1775.1
161122;1765
171122;1764.7
181122;1752
201122;1747.3
211122;1746.1
221122;1735.2
231122;1756
241122;1758.7
251122;1755
271122;1751.4
281122;1752.5
291122;1767.8
301122;1793.4
11222;1811.4
21222;1811.4
41222;1821.5
51222;1784.2
61222;1782.5
71222;1795.1
81222;1807.2
91222;1809.4
111222;1798.4
121222;1793.3
131222;1822.1
141222;1801.1
151222;1788.3
161222;1803
181222;1802.9
191222;1799
201222;1824.1
211222;1829.1
221222;1802.3
231222;1806
261222;1812.4
271222;1819.1
281222;1815.7
291222;1822.7
301222;1830.1
20123;1846.9
30123;1852.6
40123;1857.5
50123;1842.6
60123;1870.5
80123;1881.6
90123;1875.4
100123;1881.8
110123;1887.5
120123;1898.7
130123;1923
150123;1925.2
160123;1913.9
170123;1901.6
180123;1911.3
190123;1925.6
200123;1927.7
220123;1930.9
230123;1934
240123;1929.8
250123;1947
260123;1921.8
270123;1927.6
290123;1932.4
300123;1935.4
310123;1941.4
10223;1968.7
20223;1929.9
30223;1877.7
50223;1891
60223;1885.6
70223;1889.3
80223;1891.1
90223;1864.8
100223;1876.4
120223;1868.7
130223;1868.4
140223;1858.3
150223;1848.9
160223;1836
170223;1851.3
190223;1851.6
200223;1848
210223;1845
220223;1837.6
230223;1832.9
240223;1818
260223;1815.9
270223;1821
280223;1836.8
10323;1840.4
20323;1844
30323;1862.8
50323;1859.7
60323;1852.5
70323;1815.6
80323;1817.8
90323;1833.7
100323;1872.7
120323;1886.7
120323;1907.6
140323;1907.1
150323;1916.8
160323;1931.9
170323;1993.7
190323;1978.3
200323;1987.6
210323;1942.4
220323;1979.4
230323;1995.4
240323;1981
260323;1976.4
270323;1960.5
280323;1967.5
290323;1959.8
300323;1998.8
310323;1987
20423;1968.1
30423;1995.4
40423;2039.7
50423;2027.9
60423;2023.7
90423;2006.2
100423;2012.7
110423;2032.1
120423;2031.6
130423;2059.4
140423;2017.7
160423;2017.2
170423;2012.2
180423;2015.9
190423;2004.4
200423;2013.5
210423;1994.1
230423;1991
240423;2002.8
250423;2004.6
260423;2008.5
270423;1997.6
280423;1999.4
300423;1992.1
10523;1990.6
20523;2027.3
30523;2049.7
40523;2057.9
50523;2025.7
70523;2030.8
80523;2032.3
90523;2038.6
100523;2038.4
110523;2016.5
120523;2015.7
140523;2018.4
150523;2021.3
160523;1994.8
170523;1984.9
180523;1965.5
190523;1979.2
210523;1979.7
220523;1964.6
230523;1978.3
240523;1957.8
250523;1948.4
260523;1946.8
280523;1963.2
290523;1957.3
300523;1976.4
310523;1981.5
10623;1999.6
20623;1964.9
40623;1962.8
50623;1975
60623;1979.3
70623;1960.7
80623;1978.7
90623;1975.5
110623;1972.7
120623;1975.8
130623;1962.4
140623;1946.8
150623;1968.9
160623;1969.1
180623;1967.7
190623;1961.8
200623;1947.9
210623;1942.6
220623;1921.9
230623;1929.7
250623;1935.2
260623;1937.7
270623;1924
280623;1913.8
290623;1916.7
300623;1926
20723;1926
30723;1930.7
40723;1932
50723;1924.5
60723;1916.8
70723;1930.5
90723;1929.6
100723;1932
110723;1943.7
120723;1965.1
130723;1966.6
140723;1959.8
160723;1955.9
170723;1963.1
180723;1979.2
190723;1987.7
200723;1972.1
210723;1964.1
230723;1961.7
240723;1963.2
250723;1965.3
260723;1978
270723;1991.8
280723;1997.5
300723;1992.5
310723;2004
10823;1986.2
20823;1972.6
30823;1970.3
40823;1977.1
60823;1974
70823;1967.8
80823;1963.9
90823;1951.2
100823;1946.6
110823;1945.5
130823;1944.6
140823;1939.4
150823;1934.9
160823;1922.3
170823;1924.1
180823;1917.7
200823;1920.4
210823;1924.7
220823;1929.9
230823;1948.9
240823;1941
250823;1941.4
270823;1944.1
280823;1953.3
290823;1964.7
300823;1970.4
310823;1965.5
10923;1966.2
30923;1971.1
40923;1962.8
50923;1951.6
60923;1944.2
70923;1948.8
80923;1942.8
100923;1946.5
110923;1946.8
120923;1931.7
130923;1931.1
140923;1937.1
150923;1944.7
170923;1949.8
180923;1953.6
190923;1951.3
200923;1948.3
210923;1943.2
220923;1944.4
240923;1943
250923;1932.3
260923;1917.9
270923;1891.4
280923;1880
290923;1864.9
11023;1859.3
21023;1836.1
31023;1835.9
41023;1842.6
51023;1837.8
61023;1844
81023;1865
91023;1875.9
101023;1873.4
111023;1890.4
121023;1886.1
131023;1942.5
151023;1933.1
161023;1929.5
171023;1950.3
181023;1958.1
191023;1989.6
201023;1990.8
221023;1985
231023;1987.9
241023;1983.9
251023;1997.3
261023;1997.8
271023;2015.6
291023;2011.7
301023;2001.5
311023;1985.6
11123;1993.2
21123;1993.1
31123;1999.9
51123;1990.8
61123;1977.9
71123;1973.7
81123;1954.4
91123;1962.6
101123;1939.9
121123;1939.9
131123;1948.5
141123;1971.1
151123;1965.3
161123;1988.6
171123;1983.5
191123;1983.7
201123;1994
211123;2000.8
221123;1996
231123;1994.7
241123;2003.7
261123;2013.7
271123;2015.5
281123;2067.4
291123;2064.8
301123;2059.7
11223;2089.3
31223;2105.3
41223;2050.2
51223;2039.6
61223;2043
71223;2047.8
81223;2019
101223;2012.4
111223;2000.8
121223;1993.1
131223;2045.8
141223;2051
151223;2034.7
171223;2036.7
181223;2037.6
191223;2053.7
201223;2048
211223;2061.1
221223;2064.8
241223;2064.5
251223;2075.1
261223;2077.1
271223;2096.6
281223;2079.2
291223;2075.3
311223;2071.8
10124;2078.6
20124;2073
30124;2050.3
40124;2051.3
50124;2051.1
70124;2042.3
80124;2038.9
90124;2035.3
100124;2036.1
110124;2038.9
120124;2051.3
140124;2058.2
150124;2052.9
160124;2028.5
170124;2010
180124;2022.9
190124;2030.6
210124;2026.9
220124;2029
230124;2025.3
240124;2015.5
250124;2020.9
260124;2017.9
280124;2025.3
290124;2049.5
300124;2052.6
310124;2063
10224;2072.3
20224;2054.5
40224;2048.2
50224;2042.2
60224;2051.1
70224;2047.4
80224;2047.5
90224;2040.3
110224;2036.9
120224;2032.4
130224;2005
140224;2003.6
150224;2015.4
160224;2024.2
180224;2030.4
190224;2030.6
200224;2041.7
210224;2038.7
220224;2035.5
230224;2046.9
250224;2041.9
260224;2043
270224;2039
280224;2043.5
290224;2053.8
10324;2093.5
30324;2089.4
40324;2123.9
50324;2134.2
60324;2165.5
70324;2164.6
80324;2183.6
100324;2186.1
100324;2183.7
120324;2164.2
